SENTENCE_NAME	VIDEO_PATH	SENTENCE	POSE_DIR
-0BynF9TSNI_11-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0BynF9TSNI_11-5-rgb_front.mp4	The kids will love you for it.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0BynF9TSNI_11-5-rgb_front
-0BynF9TSNI_13-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0BynF9TSNI_13-5-rgb_front.mp4	I hope you make it.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0BynF9TSNI_13-5-rgb_front
-0FA6OhxZSE_5-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0FA6OhxZSE_5-5-rgb_front.mp4	So, now, I'm getting this texture of the paint underneath of it.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0FA6OhxZSE_5-5-rgb_front
-0JdYlTf9Y8_11-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0JdYlTf9Y8_11-5-rgb_front.mp4	It's really, what you get for your dollar.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0JdYlTf9Y8_11-5-rgb_front
-0JdYlTf9Y8_3-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0JdYlTf9Y8_3-5-rgb_front.mp4	This is a forty-eight inch trophy.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0JdYlTf9Y8_3-5-rgb_front
-0N0jbyBW6g_10-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0N0jbyBW6g_10-5-rgb_front.mp4	My name is Daniel King.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0N0jbyBW6g_10-5-rgb_front
-0N0jbyBW6g_7-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0N0jbyBW6g_7-5-rgb_front.mp4	It allows you to take these different threads and stitch one through the fabric and to follow along the design to create whatever design it is.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0N0jbyBW6g_7-5-rgb_front
-0N0jbyBW6g_8-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0N0jbyBW6g_8-5-rgb_front.mp4	These kits are available in most craft stores, and it gives you some flexibility as to what kind of designs you like.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0N0jbyBW6g_8-5-rgb_front
-0ZqnVFv7eI_6-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0ZqnVFv7eI_6-5-rgb_front.mp4	Knowing what's happening with your other team members at all times, and inside of the shifting dynamics, having the tactical skills necessary, to support, defend, and be aggressive, at the same time.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0ZqnVFv7eI_6-5-rgb_front
-0daC3SWCPQ_4-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0daC3SWCPQ_4-5-rgb_front.mp4	Many families begin to home school not because of concerns of academics or because of concerns of the local public or private school because they are concerned about things relative to the family.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0daC3SWCPQ_4-5-rgb_front
-0daC3SWCPQ_6-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0daC3SWCPQ_6-5-rgb_front.mp4	To do things together, to learn together and to grow together.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0daC3SWCPQ_6-5-rgb_front
-0daC3SWCPQ_9-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0daC3SWCPQ_9-5-rgb_front.mp4	Moms are already running around like chickens with their heads cut off, taxing kids here and there.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0daC3SWCPQ_9-5-rgb_front
-0oP2H0vAGY_17-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0oP2H0vAGY_17-5-rgb_front.mp4	"So you vote and the majority wins so whoever you want to, its kind of a witch hunt at this point, you just pick and choose who you think might look suspicious and if that person actually is indeed the murderer lets say you say ""ah"", everyone agrees it was Joe, the person running the game knows if its Joe or not if it was Joe they say ""yes, you guys have won"", if its not they just say ""nope, that is not the murderer"", and you just, Joe has to die though and then the games goes again and again until either the murderer is killed every body off without being killed themselves or until they've been found out by the crowd."	datasets/training_data/train_2D_keypoints/openpose_output/json/-0oP2H0vAGY_17-5-rgb_front
-0oP2H0vAGY_18-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0oP2H0vAGY_18-5-rgb_front.mp4	And that's how you play murderer.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0oP2H0vAGY_18-5-rgb_front
-0oP2H0vAGY_4-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0oP2H0vAGY_4-5-rgb_front.mp4	They don't actually get to participate, so if you are playing this with kids maybe if you have an adult in the room they could choose to be the one running the game or just maybe an adult that doesn't feel like playing if its a group of adults they can run the game.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0oP2H0vAGY_4-5-rgb_front
-0oP2H0vAGY_6-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0oP2H0vAGY_6-5-rgb_front.mp4	They just choose them by tapping them gently on the head.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0oP2H0vAGY_6-5-rgb_front
-0oP2H0vAGY_9-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0oP2H0vAGY_9-5-rgb_front.mp4	"You just start walking around the room shaking everybody's hands with a nice greeting ""hi, how are you"", ""hi, how are you""."	datasets/training_data/train_2D_keypoints/openpose_output/json/-0oP2H0vAGY_9-5-rgb_front
-0sphqZT1eQ_2-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0sphqZT1eQ_2-5-rgb_front.mp4	In this segment we're going to demonstrate batting practice with live pitching.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0sphqZT1eQ_2-5-rgb_front
-0yRaqY7nTE_5-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-0yRaqY7nTE_5-5-rgb_front.mp4	Now next, there's many companies that you can sell your vehicle to.	datasets/training_data/train_2D_keypoints/openpose_output/json/-0yRaqY7nTE_5-5-rgb_front
-1KpdDGPCq4_5-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1KpdDGPCq4_5-5-rgb_front.mp4	And let's get our spoon, so if you find yourself in San Juan and the temperature is really getting to you, just really need something that's going to quench your thirst and cool you down, and at the same time maybe loosen you up a little bit, you can order the San Juan Cooler, or if you're just in a bar in Northern Idaho and decide you'd like a nice cocktail, you can order a San Juan Cooler there as well.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1KpdDGPCq4_5-5-rgb_front
-1PeVdIwiq0_13-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1PeVdIwiq0_13-8-rgb_front.mp4	So find out whether or not you're really a new car buyer.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1PeVdIwiq0_13-8-rgb_front
-1PeVdIwiq0_2-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1PeVdIwiq0_2-8-rgb_front.mp4	In this segment we're talk about negotiating on a new car.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1PeVdIwiq0_2-8-rgb_front
-1PeVdIwiq0_21-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1PeVdIwiq0_21-8-rgb_front.mp4	Also remember that when buying a new car, depending on how many days its been in their inventory, they may be motivated to sell that particular car than not.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1PeVdIwiq0_21-8-rgb_front
-1PeVdIwiq0_23-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1PeVdIwiq0_23-8-rgb_front.mp4	Remember, just because buying a car at invoice is what the dealership does, doesn't mean you have to.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1PeVdIwiq0_23-8-rgb_front
-1Uik-vwQoc_1-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1Uik-vwQoc_1-5-rgb_front.mp4	Another way to add interest to your yard, in our family we make little headstones for all our dogs that have died.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1Uik-vwQoc_1-5-rgb_front
-1Uik-vwQoc_3-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1Uik-vwQoc_3-5-rgb_front.mp4	Scooter, so that's his name in old typeset.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1Uik-vwQoc_3-5-rgb_front
-1XUnputrgk_1-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1XUnputrgk_1-5-rgb_front.mp4	It may not be for you.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1XUnputrgk_1-5-rgb_front
-1XUnputrgk_12-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1XUnputrgk_12-5-rgb_front.mp4	You can get them at Home Depot or Lowes.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1XUnputrgk_12-5-rgb_front
-1XUnputrgk_22-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1XUnputrgk_22-5-rgb_front.mp4	And for your children if you have children that help out cleaning around the house.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1XUnputrgk_22-5-rgb_front
-1XUnputrgk_3-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1XUnputrgk_3-5-rgb_front.mp4	Some people may prefer to use products that don't have chemicals.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1XUnputrgk_3-5-rgb_front
-1eulcDdoVQ_4-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1eulcDdoVQ_4-5-rgb_front.mp4	You've got very short, small bites of the little smoked salmon canapes, which is a nice contrast in height to the puff pastry cheese straws arranged in this vase, just with some decorative rocks in the bottom.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1eulcDdoVQ_4-5-rgb_front
-1eulcDdoVQ_6-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1eulcDdoVQ_6-5-rgb_front.mp4	And then we finish with our fricos, our parmesan crackers with mache, that baby lettuce, and served in an alternate way in the martini glass with just the same parmesan crisp, but not in the arced format.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1eulcDdoVQ_6-5-rgb_front
-1eulcDdoVQ_9-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1eulcDdoVQ_9-5-rgb_front.mp4	But at least two to three kinds, and bank on two minimum per person for your party.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1eulcDdoVQ_9-5-rgb_front
-1fUFbij2s0_10-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1fUFbij2s0_10-5-rgb_front.mp4	I happen to have this sharpening stone little system here that has three, three stones on it.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1fUFbij2s0_10-5-rgb_front
-1fUFbij2s0_30-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1fUFbij2s0_30-5-rgb_front.mp4	You might, you might go from coarse to fine just to refine your edge.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1fUFbij2s0_30-5-rgb_front
-1fUFbij2s0_7-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1fUFbij2s0_7-5-rgb_front.mp4	Believe me.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1fUFbij2s0_7-5-rgb_front
-1fUFbij2s0_8-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1fUFbij2s0_8-5-rgb_front.mp4	The way to sharpen a knife is to use a sharpening stone.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1fUFbij2s0_8-5-rgb_front
-1rM0t5FMiE_2-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-1rM0t5FMiE_2-5-rgb_front.mp4	The straight pair of scissors that are straight and long and then curved pair of scissors that help with around the feet and areas like that.	datasets/training_data/train_2D_keypoints/openpose_output/json/-1rM0t5FMiE_2-5-rgb_front
-23PZTqtDBw_14-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-23PZTqtDBw_14-5-rgb_front.mp4	And then after we finish with this exercise, when we come back and start the workouts all over again with workout one, you are going to have a lot more stability and balance to help develop more power.	datasets/training_data/train_2D_keypoints/openpose_output/json/-23PZTqtDBw_14-5-rgb_front
-23PZTqtDBw_16-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-23PZTqtDBw_16-5-rgb_front.mp4	I am mike Rosengart and this is my workout partner Jonsey.	datasets/training_data/train_2D_keypoints/openpose_output/json/-23PZTqtDBw_16-5-rgb_front
-23PZTqtDBw_3-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-23PZTqtDBw_3-5-rgb_front.mp4	So this is the last exercise in our isolated series, working from the dumbbell rows to the hops to the lateral hops, forward hops, and now we are going to do plank position, and we are going to do dog pointers, which is the same exercise that we did in our previous workout, but this time we are going to do it isolated.	datasets/training_data/train_2D_keypoints/openpose_output/json/-23PZTqtDBw_3-5-rgb_front
-3bw4dQEyF8_7-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-3bw4dQEyF8_7-5-rgb_front.mp4	I'm Captain Joe Bruni.	datasets/training_data/train_2D_keypoints/openpose_output/json/-3bw4dQEyF8_7-5-rgb_front
-3bw4dQEyF8_8-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-3bw4dQEyF8_8-5-rgb_front.mp4	Stay safe, and we'll see you next time.	datasets/training_data/train_2D_keypoints/openpose_output/json/-3bw4dQEyF8_8-5-rgb_front
-3sFcDBFxc8_1-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-3sFcDBFxc8_1-5-rgb_front.mp4	What I always like to have nearby is my blower, just in case it needs a little extra air and oxygen to get moving.	datasets/training_data/train_2D_keypoints/openpose_output/json/-3sFcDBFxc8_1-5-rgb_front
-3sFcDBFxc8_12-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-3sFcDBFxc8_12-5-rgb_front.mp4	And these tend to work better.	datasets/training_data/train_2D_keypoints/openpose_output/json/-3sFcDBFxc8_12-5-rgb_front
-4Sl9mPOlfA_3-3-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-4Sl9mPOlfA_3-3-rgb_front.mp4	Cover everything.	datasets/training_data/train_2D_keypoints/openpose_output/json/-4Sl9mPOlfA_3-3-rgb_front
-6PULg1jlpc_12-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-6PULg1jlpc_12-5-rgb_front.mp4	Makeup is something that all women love to use but we also need to remember to remove it properly.	datasets/training_data/train_2D_keypoints/openpose_output/json/-6PULg1jlpc_12-5-rgb_front
-6PULg1jlpc_7-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-6PULg1jlpc_7-5-rgb_front.mp4	So what you're going to do is go ahead and begin to wash your face.	datasets/training_data/train_2D_keypoints/openpose_output/json/-6PULg1jlpc_7-5-rgb_front
-6PULg1jlpc_8-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-6PULg1jlpc_8-5-rgb_front.mp4	Now remember, cleansing the skin is something that can be very easily done at home, and it's something that you want to do on a regular basis.	datasets/training_data/train_2D_keypoints/openpose_output/json/-6PULg1jlpc_8-5-rgb_front
-6PZkp-zC78_4-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-6PZkp-zC78_4-5-rgb_front.mp4	The Wave Petunias will flower just about every day, and they'll give you a bunch of flowers from early Spring through Fall, depending on where you're at.	datasets/training_data/train_2D_keypoints/openpose_output/json/-6PZkp-zC78_4-5-rgb_front
-6YYqn8lplg_13-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-6YYqn8lplg_13-5-rgb_front.mp4	And then you need to continue stepping off your floor.	datasets/training_data/train_2D_keypoints/openpose_output/json/-6YYqn8lplg_13-5-rgb_front
-6YYqn8lplg_7-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-6YYqn8lplg_7-5-rgb_front.mp4	Usually what we try to do is build the tumbling from the lowest level all the way up to the highest level.	datasets/training_data/train_2D_keypoints/openpose_output/json/-6YYqn8lplg_7-5-rgb_front
-6YYqn8lplg_8-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-6YYqn8lplg_8-5-rgb_front.mp4	Now the most common tumbling pattern that we're going to use on cheerleading squads is what we like to call the X.	datasets/training_data/train_2D_keypoints/openpose_output/json/-6YYqn8lplg_8-5-rgb_front
-6vHGMCTYyI_0-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-6vHGMCTYyI_0-5-rgb_front.mp4	Alright, we've taken a look at what it is that you're good at.	datasets/training_data/train_2D_keypoints/openpose_output/json/-6vHGMCTYyI_0-5-rgb_front
-70D86eMmIc_10-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-70D86eMmIc_10-5-rgb_front.mp4	There's not a lot that originate from the East Coast.	datasets/training_data/train_2D_keypoints/openpose_output/json/-70D86eMmIc_10-5-rgb_front
-70D86eMmIc_7-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-70D86eMmIc_7-5-rgb_front.mp4	There are lots of other plants that come from America too, Liatris or Gay-feather is from the Midwest, and then we go down to Mexico and I have Canna Lilies, Tigridias, Mexican Feather Grass, pretty much any plant.	datasets/training_data/train_2D_keypoints/openpose_output/json/-70D86eMmIc_7-5-rgb_front
-70D86eMmIc_8-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-70D86eMmIc_8-5-rgb_front.mp4	Most bulbs are from mountainous regions.	datasets/training_data/train_2D_keypoints/openpose_output/json/-70D86eMmIc_8-5-rgb_front
-7BtY3iQIdo_12-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-7BtY3iQIdo_12-8-rgb_front.mp4	Squeeze, release and pull up.	datasets/training_data/train_2D_keypoints/openpose_output/json/-7BtY3iQIdo_12-8-rgb_front
-7BtY3iQIdo_20-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-7BtY3iQIdo_20-8-rgb_front.mp4	When you finish the beading around the around the shoe, you want to make a little bow here.	datasets/training_data/train_2D_keypoints/openpose_output/json/-7BtY3iQIdo_20-8-rgb_front
-7BtY3iQIdo_22-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-7BtY3iQIdo_22-8-rgb_front.mp4	And, then just a little dot there for the tie.	datasets/training_data/train_2D_keypoints/openpose_output/json/-7BtY3iQIdo_22-8-rgb_front
-7BtY3iQIdo_5-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-7BtY3iQIdo_5-8-rgb_front.mp4	And, you'll make little dots.	datasets/training_data/train_2D_keypoints/openpose_output/json/-7BtY3iQIdo_5-8-rgb_front
-7BtY3iQIdo_7-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-7BtY3iQIdo_7-8-rgb_front.mp4	And, as soon as it gets about this big then you pull it up.	datasets/training_data/train_2D_keypoints/openpose_output/json/-7BtY3iQIdo_7-8-rgb_front
-7BtY3iQIdo_8-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-7BtY3iQIdo_8-8-rgb_front.mp4	Now, you don't want to squeeze squeeze squeeze and pull up and squeeze.	datasets/training_data/train_2D_keypoints/openpose_output/json/-7BtY3iQIdo_8-8-rgb_front
-7H7ZHO_4Ao_5-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-7H7ZHO_4Ao_5-8-rgb_front.mp4	Or as I mentioned before this would also make a great little dog toy and with doll toys, you just always want to keep in mind that you don't want to use anything that can be pulled off or get stuck in your throat or anything.	datasets/training_data/train_2D_keypoints/openpose_output/json/-7H7ZHO_4Ao_5-8-rgb_front
-7H7ZHO_4Ao_7-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-7H7ZHO_4Ao_7-8-rgb_front.mp4	If you are going to be making this doll for a baby then I would just stick with a felt and the embroidery because there is not really any little parts that can be pulled out or anything.	datasets/training_data/train_2D_keypoints/openpose_output/json/-7H7ZHO_4Ao_7-8-rgb_front
-7H7ZHO_4Ao_8-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-7H7ZHO_4Ao_8-8-rgb_front.mp4	But I think she's so fantastic and she's going to look so great as my pin cushion.	datasets/training_data/train_2D_keypoints/openpose_output/json/-7H7ZHO_4Ao_8-8-rgb_front
-7ZqO3skAxk_6-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-7ZqO3skAxk_6-8-rgb_front.mp4	If someone is attacking you or something is coming at you, it?s harder to not jump on that and act very quickly and tell somebody how terrible they are or what a jerk they are or whatever it is.	datasets/training_data/train_2D_keypoints/openpose_output/json/-7ZqO3skAxk_6-8-rgb_front
-8AYi1n0UWo_1-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-8AYi1n0UWo_1-8-rgb_front.mp4	If your turtle won't eat, that's the topic of this one, this discussion here.	datasets/training_data/train_2D_keypoints/openpose_output/json/-8AYi1n0UWo_1-8-rgb_front
-8EJ9aomFAc_5-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-8EJ9aomFAc_5-8-rgb_front.mp4	You can get rid of all of that old wrapping paper.	datasets/training_data/train_2D_keypoints/openpose_output/json/-8EJ9aomFAc_5-8-rgb_front
-8EJ9aomFAc_7-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-8EJ9aomFAc_7-8-rgb_front.mp4	Pool it all together, make a bunch of hats and let the kids run around and really have a good time with them.	datasets/training_data/train_2D_keypoints/openpose_output/json/-8EJ9aomFAc_7-8-rgb_front
-8EJ9aomFAc_8-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-8EJ9aomFAc_8-8-rgb_front.mp4	And I will go ahead and just place my hat on and say thank you.	datasets/training_data/train_2D_keypoints/openpose_output/json/-8EJ9aomFAc_8-8-rgb_front
-8L6L9fFWK8_6-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-8L6L9fFWK8_6-8-rgb_front.mp4	An example of consecutive rolls: here, here, here, here, here, here, here, here, here, here.	datasets/training_data/train_2D_keypoints/openpose_output/json/-8L6L9fFWK8_6-8-rgb_front
-8L6L9fFWK8_9-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-8L6L9fFWK8_9-8-rgb_front.mp4	So the whole key is, is that right at the end and that push to make sure that it's set for the next roll.	datasets/training_data/train_2D_keypoints/openpose_output/json/-8L6L9fFWK8_9-8-rgb_front
-8XxBfXAzyo_1-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-8XxBfXAzyo_1-8-rgb_front.mp4	Now, chameleons--one of the characteristics of chameleons is their amazing ability to change color.	datasets/training_data/train_2D_keypoints/openpose_output/json/-8XxBfXAzyo_1-8-rgb_front
-8XxBfXAzyo_11-8-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-8XxBfXAzyo_11-8-rgb_front.mp4	In the Veiled Chameleons, in males, it's called the sunburst phase.	datasets/training_data/train_2D_keypoints/openpose_output/json/-8XxBfXAzyo_11-8-rgb_front
