VIDEO_ID	VIDEO_NAME	SENTENCE_ID	SENTENCE_NAME	START_REALIGNED	END_REALIGNED	SENTENCE
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_7	-0N0jbyBW6g_7-5-rgb_front	54.14	66.24	It allows you to take these different threads and stitch one through the fabric and to follow along the design to create whatever design it is.
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_8	-0N0jbyBW6g_8-5-rgb_front	66.24	81.35	These kits are available in most craft stores, and it gives you some flexibility as to what kind of designs you like.
-0ZqnVFv7eI	-0ZqnVFv7eI-5-rgb_front	-0ZqnVFv7eI_6	-0ZqnVFv7eI_6-5-rgb_front	73.07	88.53	Knowing what's happening with your other team members at all times, and inside of the shifting dynamics, having the tactical skills necessary, to support, defend, and be aggressive, at the same time.
-0daC3SWCPQ	-0daC3SWCPQ-5-rgb_front	-0daC3SWCPQ_4	-0daC3SWCPQ_4-5-rgb_front	16.57	34.55	Many families begin to home school not because of concerns of academics or because of concerns of the local public or private school because they are concerned about things relative to the family.
-0daC3SWCPQ	-0daC3SWCPQ-5-rgb_front	-0daC3SWCPQ_6	-0daC3SWCPQ_6-5-rgb_front	39.54	43.76	To do things together, to learn together and to grow together.
-0daC3SWCPQ	-0daC3SWCPQ-5-rgb_front	-0daC3SWCPQ_9	-0daC3SWCPQ_9-5-rgb_front	59.23	66.52	Moms are already running around like chickens with their heads cut off, taxing kids here and there.
-0oP2H0vAGY	-0oP2H0vAGY-5-rgb_front	-0oP2H0vAGY_17	-0oP2H0vAGY_17-5-rgb_front	174.47	227.65	"So you vote and the majority wins so whoever you want to, its kind of a witch hunt at this point, you just pick and choose who you think might look suspicious and if that person actually is indeed the murderer lets say you say ""ah"", everyone agrees it was Joe, the person running the game knows if its Joe or not if it was Joe they say ""yes, you guys have won"", if its not they just say ""nope, that is not the murderer"", and you just, Joe has to die though and then the games goes again and again until either the murderer is killed every body off without being killed themselves or until they've been found out by the crowd."
-0oP2H0vAGY	-0oP2H0vAGY-5-rgb_front	-0oP2H0vAGY_18	-0oP2H0vAGY_18-5-rgb_front	229.83	232.89	And that's how you play murderer.
-0oP2H0vAGY	-0oP2H0vAGY-5-rgb_front	-0oP2H0vAGY_4	-0oP2H0vAGY_4-5-rgb_front	27.55	43.82	They don't actually get to participate, so if you are playing this with kids maybe if you have an adult in the room they could choose to be the one running the game or just maybe an adult that doesn't feel like playing if its a group of adults they can run the game.
-0oP2H0vAGY	-0oP2H0vAGY-5-rgb_front	-0oP2H0vAGY_6	-0oP2H0vAGY_6-5-rgb_front	57.79	60.8	They just choose them by tapping them gently on the head.
-0oP2H0vAGY	-0oP2H0vAGY-5-rgb_front	-0oP2H0vAGY_9	-0oP2H0vAGY_9-5-rgb_front	72.32	82.31	"You just start walking around the room shaking everybody's hands with a nice greeting ""hi, how are you"", ""hi, how are you""."
-0sphqZT1eQ	-0sphqZT1eQ-5-rgb_front	-0sphqZT1eQ_2	-0sphqZT1eQ_2-5-rgb_front	8.62	13.93	In this segment we're going to demonstrate batting practice with live pitching.
-0yRaqY7nTE	-0yRaqY7nTE-5-rgb_front	-0yRaqY7nTE_5	-0yRaqY7nTE_5-5-rgb_front	27.03	31.2	Now next, there's many companies that you can sell your vehicle to.
-1KpdDGPCq4	-1KpdDGPCq4-5-rgb_front	-1KpdDGPCq4_5	-1KpdDGPCq4_5-5-rgb_front	35.14	76.61	And let's get our spoon, so if you find yourself in San Juan and the temperature is really getting to you, just really need something that's going to quench your thirst and cool you down, and at the same time maybe loosen you up a little bit, you can order the San Juan Cooler, or if you're just in a bar in Northern Idaho and decide you'd like a nice cocktail, you can order a San Juan Cooler there as well.
-1PeVdIwiq0	-1PeVdIwiq0-8-rgb_front	-1PeVdIwiq0_13	-1PeVdIwiq0_13-8-rgb_front	97.31	101.36	So find out whether or not you're really a new car buyer.
-1PeVdIwiq0	-1PeVdIwiq0-8-rgb_front	-1PeVdIwiq0_2	-1PeVdIwiq0_2-8-rgb_front	7.48	10.61	In this segment we're talk about negotiating on a new car.
-1PeVdIwiq0	-1PeVdIwiq0-8-rgb_front	-1PeVdIwiq0_21	-1PeVdIwiq0_21-8-rgb_front	157.22	168.7	Also remember that when buying a new car, depending on how many days its been in their inventory, they may be motivated to sell that particular car than not.
-1PeVdIwiq0	-1PeVdIwiq0-8-rgb_front	-1PeVdIwiq0_23	-1PeVdIwiq0_23-8-rgb_front	177.71	184.01	Remember, just because buying a car at invoice is what the dealership does, doesn't mean you have to.
-1Uik-vwQoc	-1Uik-vwQoc-5-rgb_front	-1Uik-vwQoc_1	-1Uik-vwQoc_1-5-rgb_front	11.86	24.72	Another way to add interest to your yard, in our family we make little headstones for all our dogs that have died.
-1Uik-vwQoc	-1Uik-vwQoc-5-rgb_front	-1Uik-vwQoc_3	-1Uik-vwQoc_3-5-rgb_front	27.92	34.06	Scooter, so that's his name in old typeset.
-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_1	-1XUnputrgk_1-5-rgb_front	3.63	4.99	It may not be for you.
-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_12	-1XUnputrgk_12-5-rgb_front	50.17	52.69	You can get them at Home Depot or Lowes.
-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_22	-1XUnputrgk_22-5-rgb_front	86.56	91.32	And for your children if you have children that help out cleaning around the house.
-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_3	-1XUnputrgk_3-5-rgb_front	13.14	18.4	Some people may prefer to use products that don't have chemicals.
-1eulcDdoVQ	-1eulcDdoVQ-5-rgb_front	-1eulcDdoVQ_4	-1eulcDdoVQ_4-5-rgb_front	43.59	61.39	You've got very short, small bites of the little smoked salmon canapes, which is a nice contrast in height to the puff pastry cheese straws arranged in this vase, just with some decorative rocks in the bottom.
-1eulcDdoVQ	-1eulcDdoVQ-5-rgb_front	-1eulcDdoVQ_6	-1eulcDdoVQ_6-5-rgb_front	90.45	117.11	And then we finish with our fricos, our parmesan crackers with mache, that baby lettuce, and served in an alternate way in the martini glass with just the same parmesan crisp, but not in the arced format.
-1eulcDdoVQ	-1eulcDdoVQ-5-rgb_front	-1eulcDdoVQ_9	-1eulcDdoVQ_9-5-rgb_front	135.89	145.83	But at least two to three kinds, and bank on two minimum per person for your party.
-1fUFbij2s0	-1fUFbij2s0-5-rgb_front	-1fUFbij2s0_10	-1fUFbij2s0_10-5-rgb_front	79.4	87.19	I happen to have this sharpening stone little system here that has three, three stones on it.
-1fUFbij2s0	-1fUFbij2s0-5-rgb_front	-1fUFbij2s0_30	-1fUFbij2s0_30-5-rgb_front	208.59	215.51	You might, you might go from coarse to fine just to refine your edge.
-1fUFbij2s0	-1fUFbij2s0-5-rgb_front	-1fUFbij2s0_7	-1fUFbij2s0_7-5-rgb_front	62.24	63.34	Believe me.
-1fUFbij2s0	-1fUFbij2s0-5-rgb_front	-1fUFbij2s0_8	-1fUFbij2s0_8-5-rgb_front	63.4	68.91	The way to sharpen a knife is to use a sharpening stone.
-1rM0t5FMiE	-1rM0t5FMiE-5-rgb_front	-1rM0t5FMiE_2	-1rM0t5FMiE_2-5-rgb_front	6.3	18.01	The straight pair of scissors that are straight and long and then curved pair of scissors that help with around the feet and areas like that.
-23PZTqtDBw	-23PZTqtDBw-5-rgb_front	-23PZTqtDBw_14	-23PZTqtDBw_14-5-rgb_front	105.22	123.33	And then after we finish with this exercise, when we come back and start the workouts all over again with workout one, you are going to have a lot more stability and balance to help develop more power.
-23PZTqtDBw	-23PZTqtDBw-5-rgb_front	-23PZTqtDBw_16	-23PZTqtDBw_16-5-rgb_front	129.77	135.11	I am mike Rosengart and this is my workout partner Jonsey.
-23PZTqtDBw	-23PZTqtDBw-5-rgb_front	-23PZTqtDBw_3	-23PZTqtDBw_3-5-rgb_front	8.66	36.34	So this is the last exercise in our isolated series, working from the dumbbell rows to the hops to the lateral hops, forward hops, and now we are going to do plank position, and we are going to do dog pointers, which is the same exercise that we did in our previous workout, but this time we are going to do it isolated.
-3bw4dQEyF8	-3bw4dQEyF8-5-rgb_front	-3bw4dQEyF8_7	-3bw4dQEyF8_7-5-rgb_front	103.15	104.88	I'm Captain Joe Bruni.
-3bw4dQEyF8	-3bw4dQEyF8-5-rgb_front	-3bw4dQEyF8_8	-3bw4dQEyF8_8-5-rgb_front	104.88	107.05	Stay safe, and we'll see you next time.
-3sFcDBFxc8	-3sFcDBFxc8-5-rgb_front	-3sFcDBFxc8_1	-3sFcDBFxc8_1-5-rgb_front	4.77	23.21	What I always like to have nearby is my blower, just in case it needs a little extra air and oxygen to get moving.
-3sFcDBFxc8	-3sFcDBFxc8-5-rgb_front	-3sFcDBFxc8_12	-3sFcDBFxc8_12-5-rgb_front	88.11	89.87	And these tend to work better.
-4Sl9mPOlfA	-4Sl9mPOlfA-3-rgb_front	-4Sl9mPOlfA_3	-4Sl9mPOlfA_3-3-rgb_front	24.23	26.22	Cover everything.
-6PULg1jlpc	-6PULg1jlpc-5-rgb_front	-6PULg1jlpc_12	-6PULg1jlpc_12-5-rgb_front	87.15	97.67	Makeup is something that all women love to use but we also need to remember to remove it properly.
-6PULg1jlpc	-6PULg1jlpc-5-rgb_front	-6PULg1jlpc_7	-6PULg1jlpc_7-5-rgb_front	50.77	55.48	So what you're going to do is go ahead and begin to wash your face.
-6PULg1jlpc	-6PULg1jlpc-5-rgb_front	-6PULg1jlpc_8	-6PULg1jlpc_8-5-rgb_front	57.47	67.55	Now remember, cleansing the skin is something that can be very easily done at home, and it's something that you want to do on a regular basis.
-6PZkp-zC78	-6PZkp-zC78-5-rgb_front	-6PZkp-zC78_4	-6PZkp-zC78_4-5-rgb_front	35.12	47.29	The Wave Petunias will flower just about every day, and they'll give you a bunch of flowers from early Spring through Fall, depending on where you're at.
-6YYqn8lplg	-6YYqn8lplg-5-rgb_front	-6YYqn8lplg_13	-6YYqn8lplg_13-5-rgb_front	113.96	115.78	And then you need to continue stepping off your floor.
-6YYqn8lplg	-6YYqn8lplg-5-rgb_front	-6YYqn8lplg_7	-6YYqn8lplg_7-5-rgb_front	70.28	77.73	Usually what we try to do is build the tumbling from the lowest level all the way up to the highest level.
-6YYqn8lplg	-6YYqn8lplg-5-rgb_front	-6YYqn8lplg_8	-6YYqn8lplg_8-5-rgb_front	78.06	85.9	Now the most common tumbling pattern that we're going to use on cheerleading squads is what we like to call the X.
-6vHGMCTYyI	-6vHGMCTYyI-5-rgb_front	-6vHGMCTYyI_0	-6vHGMCTYyI_0-5-rgb_front	0.31	3.73	Alright, we've taken a look at what it is that you're good at.
-70D86eMmIc	-70D86eMmIc-5-rgb_front	-70D86eMmIc_10	-70D86eMmIc_10-5-rgb_front	106.1	110.09	There's not a lot that originate from the East Coast.
-70D86eMmIc	-70D86eMmIc-5-rgb_front	-70D86eMmIc_7	-70D86eMmIc_7-5-rgb_front	70.85	96.55	There are lots of other plants that come from America too, Liatris or Gay-feather is from the Midwest, and then we go down to Mexico and I have Canna Lilies, Tigridias, Mexican Feather Grass, pretty much any plant.
-70D86eMmIc	-70D86eMmIc-5-rgb_front	-70D86eMmIc_8	-70D86eMmIc_8-5-rgb_front	96.67	100.57	Most bulbs are from mountainous regions.
-7BtY3iQIdo	-7BtY3iQIdo-8-rgb_front	-7BtY3iQIdo_12	-7BtY3iQIdo_12-8-rgb_front	51.87	54.36	Squeeze, release and pull up.
-7BtY3iQIdo	-7BtY3iQIdo-8-rgb_front	-7BtY3iQIdo_20	-7BtY3iQIdo_20-8-rgb_front	104.84	114.57	When you finish the beading around the around the shoe, you want to make a little bow here.
-7BtY3iQIdo	-7BtY3iQIdo-8-rgb_front	-7BtY3iQIdo_22	-7BtY3iQIdo_22-8-rgb_front	125.31	128.08	And, then just a little dot there for the tie.
-7BtY3iQIdo	-7BtY3iQIdo-8-rgb_front	-7BtY3iQIdo_5	-7BtY3iQIdo_5-8-rgb_front	20.66	23.05	And, you'll make little dots.
-7BtY3iQIdo	-7BtY3iQIdo-8-rgb_front	-7BtY3iQIdo_7	-7BtY3iQIdo_7-8-rgb_front	34.08	37.41	And, as soon as it gets about this big then you pull it up.
-7BtY3iQIdo	-7BtY3iQIdo-8-rgb_front	-7BtY3iQIdo_8	-7BtY3iQIdo_8-8-rgb_front	37.41	40.77	Now, you don't want to squeeze squeeze squeeze and pull up and squeeze.
-7H7ZHO_4Ao	-7H7ZHO_4Ao-8-rgb_front	-7H7ZHO_4Ao_5	-7H7ZHO_4Ao_5-8-rgb_front	37.33	53.15	Or as I mentioned before this would also make a great little dog toy and with doll toys, you just always want to keep in mind that you don't want to use anything that can be pulled off or get stuck in your throat or anything.
-7H7ZHO_4Ao	-7H7ZHO_4Ao-8-rgb_front	-7H7ZHO_4Ao_7	-7H7ZHO_4Ao_7-8-rgb_front	55.13	62.58	If you are going to be making this doll for a baby then I would just stick with a felt and the embroidery because there is not really any little parts that can be pulled out or anything.
-7H7ZHO_4Ao	-7H7ZHO_4Ao-8-rgb_front	-7H7ZHO_4Ao_8	-7H7ZHO_4Ao_8-8-rgb_front	65.34	70.48	But I think she's so fantastic and she's going to look so great as my pin cushion.
-7ZqO3skAxk	-7ZqO3skAxk-8-rgb_front	-7ZqO3skAxk_6	-7ZqO3skAxk_6-8-rgb_front	36.37	49.56	If someone is attacking you or something is coming at you, it?s harder to not jump on that and act very quickly and tell somebody how terrible they are or what a jerk they are or whatever it is.
-8AYi1n0UWo	-8AYi1n0UWo-8-rgb_front	-8AYi1n0UWo_1	-8AYi1n0UWo_1-8-rgb_front	4.78	7.62	If your turtle won't eat, that's the topic of this one, this discussion here.
-8EJ9aomFAc	-8EJ9aomFAc-8-rgb_front	-8EJ9aomFAc_5	-8EJ9aomFAc_5-8-rgb_front	30.5	33.25	You can get rid of all of that old wrapping paper.
-8EJ9aomFAc	-8EJ9aomFAc-8-rgb_front	-8EJ9aomFAc_7	-8EJ9aomFAc_7-8-rgb_front	39.13	43.75	Pool it all together, make a bunch of hats and let the kids run around and really have a good time with them.
-8EJ9aomFAc	-8EJ9aomFAc-8-rgb_front	-8EJ9aomFAc_8	-8EJ9aomFAc_8-8-rgb_front	44.25	46.63	And I will go ahead and just place my hat on and say thank you.
-8L6L9fFWK8	-8L6L9fFWK8-8-rgb_front	-8L6L9fFWK8_6	-8L6L9fFWK8_6-8-rgb_front	32.14	39.93	An example of consecutive rolls: here, here, here, here, here, here, here, here, here, here.
-8L6L9fFWK8	-8L6L9fFWK8-8-rgb_front	-8L6L9fFWK8_9	-8L6L9fFWK8_9-8-rgb_front	55.26	62.44	So the whole key is, is that right at the end and that push to make sure that it's set for the next roll.
-8XxBfXAzyo	-8XxBfXAzyo-8-rgb_front	-8XxBfXAzyo_1	-8XxBfXAzyo_1-8-rgb_front	0.14	10.85	Now, chameleons--one of the characteristics of chameleons is their amazing ability to change color.
-8XxBfXAzyo	-8XxBfXAzyo-8-rgb_front	-8XxBfXAzyo_11	-8XxBfXAzyo_11-8-rgb_front	97.17	101.72	In the Veiled Chameleons, in males, it's called the sunburst phase.
-8XxBfXAzyo	-8XxBfXAzyo-8-rgb_front	-8XxBfXAzyo_13	-8XxBfXAzyo_13-8-rgb_front	108.02	119.14	The females turn a--sometimes an orangish or brownish color during breeding season but many females will not display a very obvious change of color during breeding at all.
-8XxBfXAzyo	-8XxBfXAzyo-8-rgb_front	-8XxBfXAzyo_3	-8XxBfXAzyo_3-8-rgb_front	17.86	29.87	They do change colors with their environment to blend in such as browns for climbing on the trees, the greens for matching the leaves and they also turn colors when--according to their mood.
-8j9K3T5lkw	-8j9K3T5lkw-8-rgb_front	-8j9K3T5lkw_3	-8j9K3T5lkw_3-8-rgb_front	9.34	16.5	The next muscle we're going to be taking a look at is the latissimus dorsi.
-8tIt1vEinQ	-8tIt1vEinQ-8-rgb_front	-8tIt1vEinQ_10	-8tIt1vEinQ_10-8-rgb_front	48.07	48.46	Okay.
-8tIt1vEinQ	-8tIt1vEinQ-8-rgb_front	-8tIt1vEinQ_12	-8tIt1vEinQ_12-8-rgb_front	51.71	55.54	I don't know, let's try some yellow.
-8tIt1vEinQ	-8tIt1vEinQ-8-rgb_front	-8tIt1vEinQ_20	-8tIt1vEinQ_20-8-rgb_front	84.19	90.0	You just got to remember that, don't be afraid to put colors together.
-8tIt1vEinQ	-8tIt1vEinQ-8-rgb_front	-8tIt1vEinQ_5	-8tIt1vEinQ_5-8-rgb_front	29.08	32.14	And it just increases speed and efficiency whenever you're painting something.
-8uwu59w8QE	-8uwu59w8QE-8-rgb_front	-8uwu59w8QE_0	-8uwu59w8QE_0-8-rgb_front	0.08	0.21	Hi!
-8uwu59w8QE	-8uwu59w8QE-8-rgb_front	-8uwu59w8QE_14	-8uwu59w8QE_14-8-rgb_front	85.09	88.41	In the next segment we are going to talk about another money issue which is sponsorship.
-916rCqIrfY	-916rCqIrfY-5-rgb_front	-916rCqIrfY_12	-916rCqIrfY_12-5-rgb_front	76.1	80.29	You can have a lot of good effects kicking someone's knee out just like this.
-916rCqIrfY	-916rCqIrfY-5-rgb_front	-916rCqIrfY_2	-916rCqIrfY_2-5-rgb_front	27.11	35.71	If I'm going to kick him in the head, I'm going to knock him down to the ground first, and then I'll kick him in the head where I don't have to stretch that far.
-96cWDhR4hc	-96cWDhR4hc-5-rgb_front	-96cWDhR4hc_7	-96cWDhR4hc_7-5-rgb_front	103.89	112.08	If you don't use that, your stapler is going to go into the hole and it will shoot in the wrong direction.
-96cWDhR4hc	-96cWDhR4hc-5-rgb_front	-96cWDhR4hc_8	-96cWDhR4hc_8-5-rgb_front	112.15	133.36	So, you want to have something to prop up that stapler and we'll go about every half inch all the way down the side trying to keep those staples in a nice even row.
-9D6kP1TgbY	-9D6kP1TgbY-8-rgb_front	-9D6kP1TgbY_16	-9D6kP1TgbY_16-8-rgb_front	59.68	62.77	Again, how dark you want your brows to be.
-9D6kP1TgbY	-9D6kP1TgbY-8-rgb_front	-9D6kP1TgbY_19	-9D6kP1TgbY_19-8-rgb_front	74.02	75.24	Even everything out.
-9D6kP1TgbY	-9D6kP1TgbY-8-rgb_front	-9D6kP1TgbY_3	-9D6kP1TgbY_3-8-rgb_front	7.31	8.91	Her brows are pretty light.
-9GV_-VRpt8	-9GV_-VRpt8-8-rgb_front	-9GV_-VRpt8_10	-9GV_-VRpt8_10-8-rgb_front	74.17	83.27	What we see a lot of players do is they'll follow through, but then they'll pull their hand back and again, that's going to pull that basketball back a little bit and not let it go ahead and follow through the proper way.
-9GV_-VRpt8	-9GV_-VRpt8-8-rgb_front	-9GV_-VRpt8_12	-9GV_-VRpt8_12-8-rgb_front	91.96	95.32	If you shoot and you take a step back, it?s called negative energy.
-9GV_-VRpt8	-9GV_-VRpt8-8-rgb_front	-9GV_-VRpt8_2	-9GV_-VRpt8_2-8-rgb_front	26.37	29.7	If Kyle steps up to the line right here and gets himself ready.
-9Kic0QsCYs	-9Kic0QsCYs-8-rgb_front	-9Kic0QsCYs_10	-9Kic0QsCYs_10-8-rgb_front	59.19	66.26	And it's also, cooking the food is also about seeing the color of the food in the dish.
-9Kic0QsCYs	-9Kic0QsCYs-8-rgb_front	-9Kic0QsCYs_6	-9Kic0QsCYs_6-8-rgb_front	17.75	21.5	So, just--we'll give it one more shake, stir it once more properly.
-9Kic0QsCYs	-9Kic0QsCYs-8-rgb_front	-9Kic0QsCYs_9	-9Kic0QsCYs_9-8-rgb_front	37.91	55.29	Again, we do not want tomatoes to be cut into very small cubes because we want to see, I mean, obviously, it will be cooked well with the masala, but you'll somehow see the redness of the tomato.
-9KqRMBAAsA	-9KqRMBAAsA-3-rgb_front	-9KqRMBAAsA_5	-9KqRMBAAsA_5-3-rgb_front	35.9	43.28	But to power it up, first, make sure your sander is in the off position, make sure the power switch is off.
-9KqRMBAAsA	-9KqRMBAAsA-3-rgb_front	-9KqRMBAAsA_7	-9KqRMBAAsA_7-3-rgb_front	58.97	65.37	We'll just hold the two, come around, draw it into a knot and now you can plug it in.
-9KqRMBAAsA	-9KqRMBAAsA-3-rgb_front	-9KqRMBAAsA_8	-9KqRMBAAsA_8-3-rgb_front	65.79	73.58	Notice that one pole on the extension cord is larger than the other so it will only go in one way.
-9TmNCFEtDo	-9TmNCFEtDo-8-rgb_front	-9TmNCFEtDo_2	-9TmNCFEtDo_2-8-rgb_front	23.21	26.61	They all do come in different shapes and different sizes.
-9__F8XKDuE	-9__F8XKDuE-8-rgb_front	-9__F8XKDuE_5	-9__F8XKDuE_5-8-rgb_front	46.99	54.22	So what this has it has a little catch that goes over top of here and then instead of screwing on it descends down on to the cartridge.
-9_jI7kWiQY	-9_jI7kWiQY-8-rgb_front	-9_jI7kWiQY_1	-9_jI7kWiQY_1-8-rgb_front	5.93	26.18	Now I've got one of these large fancy sieves, it's got brushes on the bottom and it turns, and then it comes with screens at different meshes, this one is 80 mesh; the higher the number the finer the particles, so 100 would be tighter woven than this one is.
-9_jI7kWiQY	-9_jI7kWiQY-8-rgb_front	-9_jI7kWiQY_3	-9_jI7kWiQY_3-8-rgb_front	39.9	44.67	So you're going to mix, just stir up again, feel the bottom, you want to have a large spoon.
-9byTo0hUbM	-9byTo0hUbM-8-rgb_front	-9byTo0hUbM_9	-9byTo0hUbM_9-8-rgb_front	76.51	80.3	That's how you do it, I'm Russ Handler, and I need to make a phone call.
-9nBmSvp2Co	-9nBmSvp2Co-8-rgb_front	-9nBmSvp2Co_14	-9nBmSvp2Co_14-8-rgb_front	57.95	62.24	You know if you take it to the office maybe as a little dessert after your lunch, that's a great idea.
-9nBmSvp2Co	-9nBmSvp2Co-8-rgb_front	-9nBmSvp2Co_4	-9nBmSvp2Co_4-8-rgb_front	17.3	24.55	We poured it in and it was smooth, and now it looks like a rough rugged terrain that you would need a four wheel drive to go over.
-9umTJVGSqk	-9umTJVGSqk-8-rgb_front	-9umTJVGSqk_5	-9umTJVGSqk_5-8-rgb_front	24.84	25.64	Take it in.
-AFID_P6YU0	-AFID_P6YU0-8-rgb_front	-AFID_P6YU0_1	-AFID_P6YU0_1-8-rgb_front	0.47	9.73	In this series, we're learning all about fall-blooming flower bulbs.
-AFID_P6YU0	-AFID_P6YU0-8-rgb_front	-AFID_P6YU0_11	-AFID_P6YU0_11-8-rgb_front	51.05	52.63	But I found with all bulbs, they like to be in groups just like people do.
-AFID_P6YU0	-AFID_P6YU0-8-rgb_front	-AFID_P6YU0_13	-AFID_P6YU0_13-8-rgb_front	57.47	59.67	They'll do a lot more water, too.
-AKdG2AyDW4	-AKdG2AyDW4-8-rgb_front	-AKdG2AyDW4_15	-AKdG2AyDW4_15-8-rgb_front	63.02	68.19	Which again, allowing about a day to maybe even two days to dry between coats.
-AKdG2AyDW4	-AKdG2AyDW4-8-rgb_front	-AKdG2AyDW4_5	-AKdG2AyDW4_5-8-rgb_front	18.88	19.57	That's okay though.
-AP1d_fHmeM	-AP1d_fHmeM-8-rgb_front	-AP1d_fHmeM_2	-AP1d_fHmeM_2-8-rgb_front	12.6	40.96	And we're going to measure out 2 ounces of Kahlua, and make sure you add the alcohols in this order, okay, there we go, 2 ounces of Kahlua, and one ounce of butterscotch schnapps, there we go, and the last thing you're going to do is add 1 ounce of 151 proof rum, there we go.
